Country_Code,Year,Unique_Tags,CCI_Diversity,ECI
ARG,2010,4,1.3862943611198906,0.242
ARG,2011,9,2.1972245773362196,0.224
ARG,2012,9,2.1972245773362196,0.084
ARG,2013,9,2.1972245773362196,0.134
ARG,2014,12,2.4849066497880004,0.083
ARG,2015,10,2.302585092994046,0.035
ARG,2016,10,2.302585092994046,-0.15
ARG,2017,11,2.3978952727983707,-0.136
ARG,2018,11,2.3978952727983707,-0.232
ARG,2019,7,1.9459101490553132,-0.203
ARG,2020,11,2.3978952727983707,-0.258
ARG,2021,11,2.3978952727983707,-0.436
ARG,2022,4,1.3862943611198906,-0.408
AUS,2010,26,3.258096538021482,-0.262
AUS,2011,36,3.58351893845611,-0.129
AUS,2012,44,3.784189633918261,-0.193
AUS,2013,38,3.6375861597263857,-0.236
AUS,2014,43,3.7612001156935624,-0.328
AUS,2015,43,3.7612001156935624,-0.242
AUS,2016,37,3.6109179126442243,-0.236
AUS,2017,40,3.6888794541139363,-0.396
AUS,2018,34,3.5263605246161616,-0.345
AUS,2019,28,3.332204510175204,-0.377
AUS,2020,34,3.5263605246161616,-0.356
AUS,2021,29,3.367295829986474,-0.637
AUS,2022,14,2.6390573296152584,-0.389
AUT,2010,7,1.9459101490553132,1.737
AUT,2011,9,2.1972245773362196,1.695
AUT,2012,12,2.4849066497880004,1.626
AUT,2013,19,2.9444389791664403,1.686
AUT,2014,17,2.833213344056216,1.744
AUT,2015,18,2.8903717578961645,1.77
AUT,2016,16,2.772588722239781,1.738
AUT,2017,18,2.8903717578961645,1.687
AUT,2018,12,2.4849066497880004,1.738
AUT,2019,12,2.4849066497880004,1.737
AUT,2020,15,2.70805020110221,1.73
AUT,2021,14,2.6390573296152584,1.719
AUT,2022,8,2.0794415416798357,1.698
BEL,2010,12,2.4849066497880004,1.265
BEL,2011,19,2.9444389791664403,1.313
BEL,2012,26,3.258096538021482,1.205
BEL,2013,30,3.4011973816621555,1.342
BEL,2014,33,3.4965075614664802,1.3
BEL,2015,38,3.6375861597263857,1.315
BEL,2016,31,3.4339872044851463,1.299
BEL,2017,31,3.4339872044851463,1.285
BEL,2018,25,3.2188758248682006,1.257
BEL,2019,21,3.044522437723423,1.23
BEL,2020,23,3.1354942159291497,1.244
BEL,2021,19,2.9444389791664403,1.215
BEL,2022,7,1.9459101490553132,1.084
BGD,2010,1,0.0,-1.159
BGD,2011,5,1.6094379124341003,-1.25
BGD,2012,12,2.4849066497880004,-1.021
BGD,2013,16,2.772588722239781,-1.069
BGD,2014,17,2.833213344056216,-1.178
BGD,2015,23,3.1354942159291497,-1.205
BGD,2016,29,3.367295829986474,-1.268
BGD,2017,32,3.4657359027997265,-1.05
BGD,2018,30,3.4011973816621555,-1.055
BGD,2019,27,3.295836866004329,-1.18
BGD,2020,33,3.4965075614664802,-1.074
BGD,2021,30,3.4011973816621555,-0.844
BGD,2022,24,3.1780538303479458,-0.949
BRA,2010,12,2.4849066497880004,0.352
BRA,2011,19,2.9444389791664403,0.184
BRA,2012,22,3.091042453358316,0.257
BRA,2013,31,3.4339872044851463,0.137
BRA,2014,37,3.6109179126442243,0.205
BRA,2015,36,3.58351893845611,0.24
BRA,2016,31,3.4339872044851463,0.283
BRA,2017,26,3.258096538021482,0.188
BRA,2018,27,3.295836866004329,0.054
BRA,2019,35,3.5553480614894135,-0.002
BRA,2020,37,3.6109179126442243,-0.01
BRA,2021,33,3.4965075614664802,-0.169
BRA,2022,17,2.833213344056216,0.017
CAN,2010,37,3.6109179126442243,0.801
CAN,2011,47,3.8501476017100584,0.812
CAN,2012,53,3.970291913552122,0.706
CAN,2013,51,3.9318256327243257,0.676
CAN,2014,56,4.02535169073515,0.717
CAN,2015,56,4.02535169073515,0.646
CAN,2016,49,3.8918202981106265,0.646
CAN,2017,59,4.07753744390572,0.737
CAN,2018,51,3.9318256327243257,0.62
CAN,2019,50,3.912023005428146,0.637
CAN,2020,49,3.8918202981106265,0.56
CAN,2021,41,3.713572066704308,0.563
CAN,2022,19,2.9444389791664403,0.551
CHE,2010,16,2.772588722239781,2.187
CHE,2011,21,3.044522437723423,2.248
CHE,2012,22,3.091042453358316,2.157
CHE,2013,20,2.995732273553991,2.201
CHE,2014,30,3.4011973816621555,2.242
CHE,2015,31,3.4339872044851463,2.336
CHE,2016,33,3.4965075614664802,2.404
CHE,2017,29,3.367295829986474,2.288
CHE,2018,23,3.1354942159291497,2.246
CHE,2019,22,3.091042453358316,2.217
CHE,2020,25,3.2188758248682006,2.297
CHE,2021,20,2.995732273553991,2.146
CHE,2022,11,2.3978952727983707,2.359
CHN,2010,13,2.5649493574615367,0.893
CHN,2011,14,2.6390573296152584,1.045
CHN,2012,19,2.9444389791664403,1.076
CHN,2013,18,2.8903717578961645,1.108
CHN,2014,19,2.9444389791664403,1.184
CHN,2015,18,2.8903717578961645,1.107
CHN,2016,21,3.044522437723423,1.108
CHN,2017,22,3.091042453358316,1.159
CHN,2018,15,2.70805020110221,1.139
CHN,2019,14,2.6390573296152584,1.177
CHN,2020,16,2.772588722239781,1.194
CHN,2021,12,2.4849066497880004,1.34
CHN,2022,9,2.1972245773362196,1.299
COL,2012,2,0.6931471805599453,0.19
COL,2013,6,1.791759469228055,0.235
COL,2014,1,0.0,0.113
COL,2015,6,1.791759469228055,0.113
COL,2016,3,1.0986122886681098,0.054
COL,2017,6,1.791759469228055,0.242
COL,2018,5,1.6094379124341003,0.119
COL,2019,4,1.3862943611198906,-0.0
COL,2020,4,1.3862943611198906,-0.028
COL,2021,4,1.3862943611198906,0.04
COL,2022,3,1.0986122886681098,0.057
DEU,2010,44,3.784189633918261,2.038
DEU,2011,84,4.430816798843313,2.104
DEU,2012,103,4.634728988229636,2.013
DEU,2013,127,4.844187086458591,2.081
DEU,2014,129,4.859812404361672,2.143
DEU,2015,151,5.017279836814924,2.243
DEU,2016,158,5.062595033026967,2.231
DEU,2017,162,5.087596335232384,2.129
DEU,2018,137,4.919980925828125,2.107
DEU,2019,131,4.875197323201151,2.072
DEU,2020,134,4.897839799950911,2.119
DEU,2021,116,4.7535901911063645,2.054
DEU,2022,81,4.394449154672439,2.055
EGY,2010,4,1.3862943611198906,-0.23
EGY,2011,9,2.1972245773362196,-0.151
EGY,2012,10,2.302585092994046,-0.178
EGY,2013,14,2.6390573296152584,-0.174
EGY,2014,14,2.6390573296152584,-0.157
EGY,2015,15,2.70805020110221,-0.203
EGY,2016,19,2.9444389791664403,-0.174
EGY,2017,24,3.1780538303479458,-0.058
EGY,2018,26,3.258096538021482,-0.151
EGY,2019,26,3.258096538021482,-0.144
EGY,2020,34,3.5263605246161616,-0.248
EGY,2021,24,3.1780538303479458,-0.159
EGY,2022,15,2.70805020110221,-0.237
ESP,2010,7,1.9459101490553132,0.807
ESP,2011,19,2.9444389791664403,0.809
ESP,2012,26,3.258096538021482,0.791
ESP,2013,29,3.367295829986474,0.82
ESP,2014,32,3.4657359027997265,0.811
ESP,2015,26,3.258096538021482,0.745
ESP,2016,21,3.044522437723423,0.742
ESP,2017,26,3.258096538021482,0.657
ESP,2018,23,3.1354942159291497,0.642
ESP,2019,21,3.044522437723423,0.633
ESP,2020,25,3.2188758248682006,0.68
ESP,2021,17,2.833213344056216,0.682
ESP,2022,12,2.4849066497880004,0.725
FRA,2010,19,2.9444389791664403,1.513
FRA,2011,31,3.4339872044851463,1.522
FRA,2012,56,4.02535169073515,1.453
FRA,2013,53,3.970291913552122,1.505
FRA,2014,69,4.23410650459726,1.485
FRA,2015,68,4.219507705176107,1.464
FRA,2016,68,4.219507705176107,1.45
FRA,2017,89,4.48863636973214,1.391
FRA,2018,77,4.343805421853684,1.404
FRA,2019,71,4.2626798770413155,1.365
FRA,2020,73,4.290459441148391,1.364
FRA,2021,67,4.204692619390966,1.331
FRA,2022,42,3.7376696182833684,1.268
GBR,2010,106,4.663439094112067,1.849
GBR,2011,142,4.955827057601261,1.809
GBR,2012,157,5.056245805348308,1.744
GBR,2013,148,4.997212273764115,1.735
GBR,2014,129,4.859812404361672,1.768
GBR,2015,105,4.653960350157523,1.772
GBR,2016,100,4.605170185988092,1.715
GBR,2017,114,4.736198448394496,1.645
GBR,2018,99,4.59511985013459,1.711
GBR,2019,81,4.394449154672439,1.709
GBR,2020,92,4.5217885770490405,1.69
GBR,2021,69,4.23410650459726,1.786
GBR,2022,36,3.58351893845611,1.861
IDN,2010,4,1.3862943611198906,-0.264
IDN,2011,6,1.791759469228055,-0.287
IDN,2012,7,1.9459101490553132,-0.239
IDN,2013,12,2.4849066497880004,-0.225
IDN,2014,13,2.5649493574615367,-0.128
IDN,2015,17,2.833213344056216,-0.14
IDN,2016,20,2.995732273553991,-0.174
IDN,2017,35,3.5553480614894135,-0.111
IDN,2018,35,3.5553480614894135,-0.081
IDN,2019,32,3.4657359027997265,-0.135
IDN,2020,31,3.4339872044851463,-0.216
IDN,2021,27,3.295836866004329,-0.158
IDN,2022,15,2.70805020110221,-0.158
IND,2010,82,4.406719247264253,0.029
IND,2011,138,4.927253685157205,0.057
IND,2012,196,5.278114659230517,0.164
IND,2013,238,5.472270673671475,0.226
IND,2014,254,5.537334267018537,0.251
IND,2015,245,5.501258210544727,0.229
IND,2016,225,5.41610040220442,0.278
IND,2017,246,5.5053315359323625,0.329
IND,2018,223,5.407171771460119,0.481
IND,2019,192,5.2574953720277815,0.355
IND,2020,228,5.429345628954441,0.439
IND,2021,189,5.241747015059643,0.459
IND,2022,104,4.6443908991413725,0.445
IRL,2010,12,2.4849066497880004,1.485
IRL,2011,21,3.044522437723423,1.631
IRL,2012,23,3.1354942159291497,1.423
IRL,2013,22,3.091042453358316,1.319
IRL,2014,27,3.295836866004329,1.339
IRL,2015,24,3.1780538303479458,1.341
IRL,2016,23,3.1354942159291497,1.497
IRL,2017,20,2.995732273553991,1.509
IRL,2018,17,2.833213344056216,1.573
IRL,2019,18,2.8903717578961645,1.502
IRL,2020,15,2.70805020110221,1.588
IRL,2021,8,2.0794415416798357,1.476
IRL,2022,4,1.3862943611198906,1.712
ISR,2010,30,3.4011973816621555,1.265
ISR,2011,50,3.912023005428146,1.305
ISR,2012,57,4.04305126783455,1.32
ISR,2013,59,4.07753744390572,1.299
ISR,2014,56,4.02535169073515,1.314
ISR,2015,54,3.9889840465642745,1.372
ISR,2016,67,4.204692619390966,1.344
ISR,2017,68,4.219507705176107,1.445
ISR,2018,62,4.127134385045092,1.39
ISR,2019,50,3.912023005428146,1.476
ISR,2020,55,4.007333185232471,1.592
ISR,2021,44,3.784189633918261,1.441
ISR,2022,24,3.1780538303479458,1.472
ITA,2010,15,2.70805020110221,1.197
ITA,2011,25,3.2188758248682006,1.275
ITA,2012,33,3.4965075614664802,1.307
ITA,2013,40,3.6888794541139363,1.296
ITA,2014,47,3.8501476017100584,1.315
ITA,2015,44,3.784189633918261,1.317
ITA,2016,37,3.6109179126442243,1.327
ITA,2017,30,3.4011973816621555,1.278
ITA,2018,35,3.5553480614894135,1.282
ITA,2019,35,3.5553480614894135,1.279
ITA,2020,37,3.6109179126442243,1.276
ITA,2021,33,3.4965075614664802,1.311
ITA,2022,22,3.091042453358316,1.324
JPN,2010,6,1.791759469228055,2.542
JPN,2011,10,2.302585092994046,2.564
JPN,2012,10,2.302585092994046,2.492
JPN,2013,14,2.6390573296152584,2.436
JPN,2014,15,2.70805020110221,2.47
JPN,2015,19,2.9444389791664403,2.57
JPN,2016,16,2.772588722239781,2.638
JPN,2017,17,2.833213344056216,2.527
JPN,2018,16,2.772588722239781,2.555
